ID,ID_HECHO,FECHA,N_VICTIMAS
356,2018-0081,2018-07-29,1
357,2018-0082,2018-08-01,1
358,2018-0083,2018-08-02,1
359,2018-0084,2018-08-03,1
360,2018-0085,2018-08-03,2
361,2018-0086,2018-08-10,1
362,2018-0087,2018-08-15,1
363,2018-0088,2018-08-17,1
364,2018-0089,2018-08-17,1
365,2018-0090,2018-08-18,1
366,2018-0091,2018-08-19,1
367,2018-0092,2018-08-20,1
368,2018-0093,2018-08-20,1
369,2018-0094,2018-08-23,1
370,2018-0095,2018-08-26,1
371,2018-0096,2018-08-31,1
372,2018-0097,2018-09-02,1
373,2018-0098,2018-09-09,2
374,2018-0099,2018-09-12,1
375,2018-0100,2018-09-20,1
376,2018-0101,2018-09-21,1
377,2018-0102,2018-09-21,1
378,2018-0103,2018-09-27,1
379,2018-0104,2018-10-01,1
380,2018-0105,2018-10-03,1
381,2018-0106,2018-10-04,1
382,2018-0107,2018-10-06,1
383,2018-0108,2018-10-09,1
384,2018-0109,2018-10-10,1
385,2018-0110,2018-10-13,1
386,2018-0111,2018-10-19,1
387,2018-0112,2018-10-24,1
388,2018-0113,2018-10-25,1
389,2018-0114,2018-10-30,1
390,2018-0115,2018-10-31,1
391,2018-0116,2018-11-01,1
392,2018-0117,2018-11-04,1
393,2018-0118,2018-11-05,1
394,2018-0119,2018-11-05,1
395,2018-0120,2018-11-09,1
396,2018-0121,2018-11-09,1
397,2018-0122,2018-11-12,1
398,2018-0123,2018-11-12,1
399,2018-0124,2018-11-15,1
400,2018-0125,2018-11-16,1
401,2018-0126,2018-11-18,1
402,2018-0127,2018-11-19,1
403,2018-0128,2018-11-25,2
404,2018-0129,2018-11-28,1
405,2018-0130,2018-12-03,1
406,2018-0131,2018-12-07,1
407,2018-0132,2018-12-12,1
408,2018-0133,2018-12-12,1
409,2018-0134,2018-12-12,1
410,2018-0135,2018-12-18,1
411,2018-0136,2018-12-18,1
412,2018-0137,2018-12-18,1
413,2018-0138,2018-12-21,1
414,2018-0139,2018-12-22,1
415,2018-0140,2018-12-22,1
416,2018-0141,2018-12-22,1
417,2018-0142,2018-12-25,1
418,2018-0143,2018-12-29,1
419,2019-0001,2019-01-08,1
420,2019-0002,2019-01-09,1
421,2019-0003,2019-01-12,1
422,2019-0004,2019-01-14,1
423,2019-0005,2019-01-19,1
424,2019-0006,2019-01-23,1
425,2019-0007,2019-01-26,1
426,2019-0008,2019-01-30,1
427,2019-0009,2019-01-31,1
428,2019-0010,2019-02-02,2
429,2019-0011,2019-02-10,1
430,2019-0012,2019-02-17,1
431,2019-0013,2019-02-20,1
432,2019-0014,2019-02-20,1
433,2019-0015,2019-02-23,1
434,2019-0016,2019-02-24,1
435,2019-0017,2019-03-03,1
436,2019-0018,2019-03-03,1
437,2019-0019,2019-03-06,1
438,2019-0020,2019-03-07,1
439,2019-0021,2019-03-15,1
440,2019-0022,2019-03-15,1
441,2019-0023,2019-03-16,1
442,2019-0024,2019-03-19,1
443,2019-0025,2019-03-22,1
444,2019-0026,2019-03-28,1
445,2019-0027,2019-03-28,1
446,2019-0028,2019-04-06,1
447,2019-0029,2019-04-07,1
448,2019-0030,2019-04-09,1
449,2019-0031,2019-04-12,1
450,2019-0032,2019-04-16,1
451,2019-0033,2019-04-18,1
452,2019-0034,2019-04-21,1
453,2019-0035,2019-04-23,1
454,2019-0036,2019-04-26,1
455,2019-0037,2019-05-01,1
456,2019-0038,2019-05-04,1
457,2019-0039,2019-05-09,1
458,2019-0040,2019-05-09,1
459,2019-0041,2019-05-11,1
460,2019-0042,2019-05-14,1
461,2019-0043,2019-05-21,1
462,2019-0044,2019-05-27,1
463,2019-0045,2019-06-03,1
464,2019-0046,2019-06-04,1
465,2019-0047,2019-06-06,1
466,2019-0048,2019-06-07,1
