ID,ID_HECHO,FECHA,ROL
448,2019-0012,2019-02-17,CONDUCTOR
449,2019-0013,2019-02-20,PEATON
450,2019-0014,2019-02-20,CONDUCTOR
451,2019-0015,2019-02-23,CONDUCTOR
452,2019-0016,2019-02-24,CONDUCTOR
453,2019-0017,2019-03-03,CONDUCTOR
454,2019-0018,2019-03-03,PEATON
455,2019-0019,2019-03-06,CONDUCTOR
456,2019-0020,2019-03-07,CONDUCTOR
457,2019-0021,2019-03-15,CONDUCTOR
458,2019-0022,2019-03-15,PASAJERO_ACOMPANANTE
459,2019-0023,2019-03-16,CONDUCTOR
460,2019-0024,2019-03-19,CONDUCTOR
461,2019-0025,2019-03-22,PEATON
462,2019-0026,2019-03-28,PEATON
463,2019-0027,2019-03-28,CICLISTA
464,2019-0028,2019-04-06,PEATON
465,2019-0029,2019-04-07,CONDUCTOR
466,2019-0030,2019-04-09,CONDUCTOR
467,2019-0031,2019-04-12,CICLISTA
468,2019-0032,2019-04-16,PEATON
469,2019-0033,2019-04-18,CONDUCTOR
470,2019-0034,2019-04-21,CONDUCTOR
471,2019-0035,2019-04-23,PEATON
472,2019-0036,2019-04-26,CONDUCTOR
473,2019-0037,2019-05-01,CONDUCTOR
474,2019-0038,2019-05-04,PEATON
475,2019-0105,2019-05-05,PEATON
476,2019-0039,2019-05-09,CONDUCTOR
477,2019-0040,2019-05-09,CONDUCTOR
478,2019-0041,2019-05-11,PASAJERO_ACOMPANANTE
479,2019-0042,2019-05-14,PEATON
480,2019-0043,2019-05-21,CICLISTA
481,2019-0044,2019-05-27,PEATON
482,2019-0045,2019-06-03,CONDUCTOR
483,2019-0046,2019-06-04,PASAJERO_ACOMPANANTE
484,2019-0047,2019-06-06,PEATON
485,2019-0048,2019-06-07,CONDUCTOR
486,2019-0049,2019-06-08,PEATON
487,2019-0050,2019-06-08,CONDUCTOR
488,2019-0051,2019-06-11,CONDUCTOR
489,2019-0053,2019-06-14,PASAJERO_ACOMPANANTE
490,2019-0054,2019-06-20,CONDUCTOR
491,2019-0055,2019-06-20,CONDUCTOR
492,2019-0056,2019-06-29,PEATON
493,2019-0057,2019-07-05,PEATON
494,2019-0058,2019-07-10,CONDUCTOR
495,2019-0059,2019-07-13,CONDUCTOR
