ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
318,2018-0043,2018-04-28,ALVAREZ JONTE AV.,False
319,2018-0044,2018-04-28,INDEPENDENCIA AV.,False
320,2018-0045,2018-04-30,,False
321,2018-0046,2018-05-02,RIVADAVIA AV.,False
322,2018-0047,2018-05-08,DORREGO AV.,False
323,2018-0048,2018-05-09,PEDERNERA,False
324,2018-0049,2018-05-11,,False
325,2018-0050,2018-05-14,JURAMENTO AV.,False
326,2018-0051,2018-05-15,"CARBONARI, FRANCISCO, CMTE.",False
327,2018-0052,2018-05-18,NAZCA,False
328,2018-0053,2018-05-20,AGUERO,False
329,2018-0054,2018-05-22,,False
330,2018-0055,2018-05-29,JUJUY AV.,False
331,2018-0056,2018-06-02,,False
332,2018-0057,2018-06-03,HUMBERTO 1?,False
333,2018-0058,2018-06-03,THAMES,False
334,2018-0059,2018-06-08,SANCHEZ DE LORIA,False
335,2018-0060,2018-06-08,"ALEM, LEANDRO N. AV.",False
336,2018-0061,2018-06-10,PICHINCHA,False
337,2018-0062,2018-06-14,BARCO CENTENERA DEL,False
338,2018-0063,2018-06-16,VIAMONTE,False
339,2018-0064,2018-06-25,PRIMERA JUNTA,False
340,2018-0065,2018-06-26,JUNCAL,False
341,2018-0066,2018-06-28,"LACROZE, FEDERICO AV.",False
342,2018-0067,2018-06-29,FINOCHIETTO ENRIQUE DR.,False
343,2018-0068,2018-07-01,"ALBERDI, JUAN BAUTISTA AV.",False
344,2018-0069,2018-07-04,,False
345,2018-0070,2018-07-07,"URQUIZA, GRAL.",False
346,2018-0071,2018-07-10,"HUERGO, ING. AV.",False
347,2018-0072,2018-07-11,,False
348,2018-0073,2018-07-11,,False
349,2018-0074,2018-07-14,,False
350,2018-0075,2018-07-15,ORTIZ DE OCAMPO,False
351,2018-0076,2018-07-16,"PAZ, GRAL. AV.",False
352,2018-0077,2018-07-16,ESTADOS UNIDOS,False
353,2018-0078,2018-07-21,SANCHEZ DE BUSTAMANTE,False
354,2018-0079,2018-07-23,"PAZ, GRAL. AV.",False
355,2018-0080,2018-07-25,CARHUE,False
356,2018-0081,2018-07-29,RIVERA INDARTE AV.,False
357,2018-0082,2018-08-01,"GARZON, EUGENIO, GRAL. AV.",False
358,2018-0083,2018-08-02,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",False
359,2018-0084,2018-08-03,COCHABAMBA,False
360,2018-0085,2018-08-03,"GARAY, JUAN DE AV.",False
361,2018-0086,2018-08-10,GUARDIA NACIONAL,False
362,2018-0087,2018-08-15,COLOMBRES,False
363,2018-0088,2018-08-17,"BALBIN, RICARDO, DR. AV.",False
364,2018-0089,2018-08-17,BRASIL,False
365,2018-0090,2018-08-18,PERGAMINO,False
366,2018-0091,2018-08-19,BARRAGAN,False
367,2018-0092,2018-08-20,GASCON,False
368,2018-0093,2018-08-20,,False
369,2018-0094,2018-08-23,BERUTI,False
370,2018-0095,2018-08-26,"DELLEPIANE, LUIS, TTE. GRAL.",False
371,2018-0096,2018-08-31,"ROCA, CNEL. AV.",False
372,2018-0097,2018-09-02,"RABANAL, FRANCISCO, INTENDENTE AV.",False
373,2018-0098,2018-09-09,BERON DE ASTRADA,False
374,2018-0099,2018-09-12,PEDERNERA,False
375,2018-0100,2018-09-20,,False
376,2018-0101,2018-09-21,ZAPIOLA,False
377,2018-0102,2018-09-21,"TABORDA, DIOGENES",False
378,2018-0103,2018-09-27,"BONORINO, ESTEBAN, CNEL. AV.",False
379,2018-0104,2018-10-01,SUAREZ AV.,False
380,2018-0105,2018-10-03,RIVADAVIA AV.,False
381,2018-0106,2018-10-04,ECHEVERRIA,False
382,2018-0107,2018-10-06,JUJUY AV.,False
383,2018-0108,2018-10-09,"GUEMES, MACACHA",False
384,2018-0109,2018-10-10,"ALEM, LEANDRO N. AV.",False
385,2018-0110,2018-10-13,"GALLARDO, ANGEL AV.",False
386,2018-0111,2018-10-19,,False
387,2018-0112,2018-10-24,SERRANO,False
388,2018-0113,2018-10-25,TRES ARROYOS,False
389,2018-0114,2018-10-30,INDEPENDENCIA AV.,False
390,2018-0115,2018-10-31,"PAZ, GRAL. AV.",False
391,2018-0116,2018-11-01,,False
392,2018-0117,2018-11-04,,False
393,2018-0118,2018-11-05,PUEYRREDON AV.,False
394,2018-0119,2018-11-05,SAN PEDRITO,False
395,2018-0120,2018-11-09,ALVAREZ THOMAS AV.,False
396,2018-0121,2018-11-09,MANZONI,False
397,2018-0122,2018-11-12,LARRAZABAL,False
398,2018-0123,2018-11-12,"PERON, EVA AV.",False
399,2018-0124,2018-11-15,,False
400,2018-0125,2018-11-16,VENTANA,False
401,2018-0126,2018-11-18,"FALCON, RAMON L.,CNEL.",False
402,2018-0127,2018-11-19,DE LOS CONSTITUYENTES AV.,False
403,2018-0128,2018-11-25,,False
404,2018-0129,2018-11-28,GUEVARA,False
405,2018-0130,2018-12-03,SEGUROLA AV.,False
406,2018-0131,2018-12-07,,False
407,2018-0132,2018-12-12,"CASTILLO, RAMON S., PRES. AV.",False
408,2018-0133,2018-12-12,RIVADAVIA AV.,False
409,2018-0134,2018-12-12,CASEROS AV.,False
410,2018-0135,2018-12-18,PERU,False
411,2018-0136,2018-12-18,,False
412,2018-0137,2018-12-18,SANTIAGO DEL ESTERO,False
413,2018-0138,2018-12-21,,False
414,2018-0139,2018-12-22,,False
415,2018-0140,2018-12-22,,False
416,2018-0141,2018-12-22,INDEPENDENCIA AV.,False
417,2018-0142,2018-12-25,,False
418,2018-0143,2018-12-29,"ALBERDI, JUAN BAUTISTA AV.",False
419,2019-0001,2019-01-08,CALLE 12 (NO OFICIAL),False
420,2019-0002,2019-01-09,"MORENO, PERITO AV.",False
421,2019-0003,2019-01-12,TERRADA,False
422,2019-0004,2019-01-14,MEDINA,False
423,2019-0005,2019-01-19,ALVAREZ JONTE AV.,False
424,2019-0006,2019-01-23,,False
425,2019-0007,2019-01-26,YATAY,False
426,2019-0008,2019-01-30,,False
427,2019-0009,2019-01-31,SAN JUAN AV.,False
428,2019-0010,2019-02-02,,False
429,2019-0011,2019-02-10,"ALBERDI, JUAN BAUTISTA AV.",False
430,2019-0012,2019-02-17,"GORDILLO, TIMOTEO",False
431,2019-0013,2019-02-20,MOM,False
432,2019-0014,2019-02-20,,False
433,2019-0015,2019-02-23,,False
434,2019-0016,2019-02-24,FINOCHIETTO ENRIQUE DR.,False
435,2019-0017,2019-03-03,PICHINCHA,False
436,2019-0018,2019-03-03,"UDAONDO, GUILLERMO AV.",False
437,2019-0019,2019-03-06,,False
438,2019-0020,2019-03-07,,False
439,2019-0021,2019-03-15,YERBAL,False
440,2019-0022,2019-03-15,,False
441,2019-0023,2019-03-16,"JACQUES, AMADEO",False
442,2019-0024,2019-03-19,,False
443,2019-0025,2019-03-22,SANCHEZ DE BUSTAMANTE,False
444,2019-0026,2019-03-28,"PAZ, GRAL. AV.",False
445,2019-0027,2019-03-28,AZCUENAGA,False
446,2019-0028,2019-04-06,"ORO?O, NICASIO",False
447,2019-0029,2019-04-07,"PAZ, GRAL. AV.",False
448,2019-0030,2019-04-09,YERBAL,False
449,2019-0031,2019-04-12,"MADERO, EDUARDO AV.",False
450,2019-0032,2019-04-16,"ALVAREZ, DONATO, TTE. GRAL. AV.",False
451,2019-0033,2019-04-18,"HUERGO, ING. AV.",False
452,2019-0034,2019-04-21,,False
453,2019-0035,2019-04-23,,False
454,2019-0036,2019-04-26,FORMOSA,False
455,2019-0037,2019-05-01,INDEPENDENCIA AV.,False
456,2019-0038,2019-05-04,"FIGUEROA ALCORTA, PRES. AV.",False
457,2019-0039,2019-05-09,DIRECTORIO AV.,False
458,2019-0040,2019-05-09,SANTANDER,False
459,2019-0041,2019-05-11,ANDALGALA,False
460,2019-0042,2019-05-14,CONSTITUCION,False
461,2019-0043,2019-05-21,"MADERO, EDUARDO AV.",False
462,2019-0044,2019-05-27,,False
463,2019-0045,2019-06-03,REPUBLICA DE LA INDIA,False
464,2019-0046,2019-06-04,CABILDO AV.,False
465,2019-0047,2019-06-06,,False
466,2019-0048,2019-06-07,,False
467,2019-0049,2019-06-08,MENDOZA,False
468,2019-0050,2019-06-08,HONDURAS AV.,False
469,2019-0051,2019-06-11,OLAVARRIA,False
470,2019-0053,2019-06-14,CASTA?ARES AV.,False
471,2019-0054,2019-06-20,,False
472,2019-0055,2019-06-20,"MADERO, EDUARDO AV.",False
473,2019-0056,2019-06-29,,False
474,2019-0057,2019-07-05,LA PAMPA,False
475,2019-0058,2019-07-10,,False
476,2019-0059,2019-07-13,SANTIAGO DEL ESTERO,False
477,2019-0060,2019-07-17,"FALCON, RAMON L.,CNEL.",False
478,2019-0061,2019-07-17,MENDOZA,False
479,2019-0062,2019-08-01,"CAMPOS, LUIS M. AV.",False
480,2019-0063,2019-08-04,MAURE,False
481,2019-0064,2019-08-06,AVELLANEDA AV.,False
482,2019-0065,2019-08-08,TILCARA,False
483,2019-0066,2019-08-11,BOLIVAR (NO OFICIAL),False
484,2019-0067,2019-08-14,,False
485,2019-0068,2019-08-14,,False
486,2019-0069,2019-08-17,,False
487,2019-0070,2019-08-22,GORRITI,False
488,2019-0071,2019-08-27,OLIVERA AV.,False
489,2019-0072,2019-08-28,AZUL,False
490,2019-0073,2019-08-29,,False
491,2019-0074,2019-08-29,"PAZ, GRAL. AV.",False
492,2019-0075,2019-08-30,LUJAN,False
493,2019-0076,2019-09-05,,False
494,2019-0077,2019-09-08,TAGLE,False
495,2019-0078,2019-09-12,"ALCORTA, AMANCIO AV.",False
496,2019-0079,2019-09-17,COLOMBRES,False
497,2019-0080,2019-09-17,"PAZ, GRAL. AV.",False
498,2019-0081,2019-09-23,,False
499,2019-0082,2019-09-25,,False
500,2019-0083,2019-09-26,CORVALAN,False
501,2019-0084,2019-09-27,LAFUENTE,False
502,2019-0085,2019-10-09,BACACAY,False
503,2019-0086,2019-10-15,,False
504,2019-0087,2019-10-21,MENDOZA,False
505,2019-0088,2019-10-22,"BONAVENA, OSCAR NATALIO",False
