ID_HECHO,FECHA,ACUSADO,VICTIMA
2018-0084,2018-08-03,CARGAS,PEATON
2018-0085,2018-08-03,PASAJEROS,MOTO
2018-0085,2018-08-03,PASAJEROS,MOTO
2018-0086,2018-08-10,PASAJEROS,PEATON
2018-0087,2018-08-15,PASAJEROS,PEATON
2018-0088,2018-08-17,CARGAS,MOTO
2018-0089,2018-08-17,PASAJEROS,PEATON
2018-0090,2018-08-18,AUTO,MOTO
2018-0091,2018-08-19,AUTO,AUTO
2018-0092,2018-08-20,AUTO,MOTO
2018-0093,2018-08-20,PASAJEROS,PEATON
2018-0094,2018-08-23,PASAJEROS,MOTO
2018-0095,2018-08-26,AUTO,AUTO
2018-0096,2018-08-31,AUTO,PEATON
2018-0097,2018-09-02,OTRO,AUTO
2018-0098,2018-09-09,AUTO,AUTO
2018-0098,2018-09-09,AUTO,AUTO
2018-0099,2018-09-12,PASAJEROS,PEATON
2018-0100,2018-09-20,AUTO,MOTO
2018-0101,2018-09-21,MULTIPLE,AUTO
2018-0102,2018-09-21,AUTO,MOTO
2018-0103,2018-09-27,MOTO,PEATON
2018-0104,2018-10-01,MOTO,MOTO
2018-0105,2018-10-03,PASAJEROS,PEATON
2018-0106,2018-10-04,MOTO,MOTO
2018-0107,2018-10-06,PASAJEROS,PEATON
2018-0108,2018-10-09,AUTO,MOTO
2018-0109,2018-10-10,PASAJEROS,PEATON
2018-0110,2018-10-13,MOTO,PEATON
2018-0111,2018-10-19,CARGAS,MOTO
2018-0112,2018-10-24,CARGAS,MOTO
2018-0113,2018-10-25,CARGAS,MOTO
2018-0114,2018-10-30,AUTO,MOTO
2018-0115,2018-10-31,PASAJEROS,PEATON
2018-0116,2018-11-01,CARGAS,PEATON
2018-0117,2018-11-04,MOTO,MOTO
2018-0118,2018-11-05,MOTO,PEATON
2018-0119,2018-11-05,,PEATON
2018-0120,2018-11-09,AUTO,PEATON
2018-0121,2018-11-09,PASAJEROS,PEATON
2018-0122,2018-11-12,AUTO,AUTO
2018-0123,2018-11-12,,AUTO
2018-0124,2018-11-15,CARGAS,CARGAS
2018-0125,2018-11-16,PASAJEROS,PEATON
2018-0126,2018-11-18,AUTO,MOTO
2018-0127,2018-11-19,MOTO,MOTO
2018-0128,2018-11-25,PASAJEROS,AUTO
2018-0128,2018-11-25,PASAJEROS,AUTO
2018-0129,2018-11-28,PASAJEROS,MOTO
2018-0130,2018-12-03,PASAJEROS,MOTO
2018-0131,2018-12-07,CARGAS,MOTO
2018-0132,2018-12-12,CARGAS,PEATON
2018-0133,2018-12-12,CARGAS,PEATON
2018-0134,2018-12-12,MOTO,PEATON
2018-0135,2018-12-18,PASAJEROS,PEATON
2018-0136,2018-12-18,PASAJEROS,PEATON
2018-0137,2018-12-18,PASAJEROS,MOTO
2018-0138,2018-12-21,PASAJEROS,PASAJEROS
2018-0139,2018-12-22,MOTO,MOTO
2018-0140,2018-12-22,AUTO,AUTO
