ID,ID_HECHO,FECHA,ACUSADO
548,2020-0027,2020-05-18,CARGAS
549,2020-0028,2020-05-19,PASAJEROS
550,2020-0029,2020-06-10,PASAJEROS
551,2020-0030,2020-06-16,MULTIPLE
552,2020-0031,2020-06-30,CARGAS
553,2020-0032,2020-07-10,AUTO
554,2020-0033,2020-07-19,OBJETO FIJO
555,2020-0034,2020-08-02,AUTO
556,2020-0035,2020-08-04,PASAJEROS
557,2020-0036,2020-08-07,MOTO
558,2020-0037,2020-08-29,AUTO
559,2020-0038,2020-08-30,AUTO
560,2020-0039,2020-09-01,CARGAS
561,2020-0040,2020-09-12,OBJETO FIJO
562,2020-0041,2020-09-28,PASAJEROS
563,2020-0042,2020-09-29,PASAJEROS
564,2020-0043,2020-09-30,PASAJEROS
565,2020-0044,2020-10-05,AUTO
566,2020-0045,2020-10-19,CARGAS
567,2020-0046,2020-10-27,MOTO
568,2020-0047,2020-10-27,CARGAS
569,2020-0048,2020-10-29,OBJETO FIJO
570,2020-0049,2020-10-30,AUTO
571,2020-0050,2020-11-01,MOTO
572,2020-0051,2020-11-05,AUTO
573,2020-0052,2020-11-07,CARGAS
574,2020-0053,2020-11-09,AUTO
575,2020-0054,2020-11-19,AUTO
576,2020-0055,2020-11-19,CARGAS
577,2020-0056,2020-11-21,CARGAS
578,2020-0057,2020-11-23,AUTO
579,2020-0058,2020-11-24,AUTO
580,2020-0059,2020-12-01,PASAJEROS
581,2020-0060,2020-12-03,MOTO
582,2020-0061,2020-12-03,CARGAS
583,2020-0062,2020-12-04,PASAJEROS
584,2020-0063,2020-12-05,MOTO
585,2020-0065,2020-12-05,AUTO
586,2020-0066,2020-12-07,OBJETO FIJO
587,2020-0067,2020-12-11,PASAJEROS
588,2020-0068,2020-12-12,AUTO
589,2020-0069,2020-12-15,PASAJEROS
590,2020-0070,2020-12-17,PASAJEROS
591,2020-0071,2020-12-17,AUTO
592,2020-0072,2020-12-19,AUTO
593,2020-0073,2020-12-20,OBJETO FIJO
594,2020-0074,2020-12-20,AUTO
595,2020-0075,2020-12-23,PASAJEROS
596,2020-0076,2020-12-24,PASAJEROS
597,2020-0077,2020-12-25,AUTO
598,2020-0078,2020-12-25,PASAJEROS
599,2020-0079,2020-12-27,OBJETO FIJO
600,2021-0001,2021-01-06,AUTO
601,2021-0002,2021-01-07,CARGAS
602,2021-0003,2021-01-10,OBJETO FIJO
603,2021-0004,2021-01-11,CARGAS
604,2021-0005,2021-01-11,AUTO
605,2021-0006,2021-01-12,CARGAS
606,2021-0007,2021-01-18,MOTO
607,2021-0008,2021-01-22,PASAJEROS
608,2021-0009,2021-01-23,OBJETO FIJO
609,2021-0010,2021-01-23,AUTO
610,2021-0011,2021-01-27,AUTO
611,2021-0012,2021-01-29,AUTO
